,FBXL8.55336,CCNE1.898,SH2D3A.10045,SDF2.6388,LOC344967.344967,RAPSN.5913,GSTA1.2938,ADPGK.83440,STK16.8576,SCFD2.152579,FAM160A2.84067,IRF2.3660,CAMK2A.815,OR5C1.392391,KLKB1.3818,hsa.mir.1289.2,EML4.27436,NDUFAF3.25915,ZXDB.158586,cg16370491,cg22366088,cg24281267,CACHD1.57685,IFT20.90410,AGAP4.119016,APTX.54840,MEIG1.644890,OVCH2.341277,EN2.2020,RRAGC.64121,SEMA6D.80031,RPE.6120,ANXA2P2.304,NEDD9.4739,cg05921905,C2CD4D.100191040,CALM3.808,cg23934404,SERTAD4.56256,cg19578835,TNFSF4.7292,OSCAR.126014,ZRANB3.84083,AIM1L.55057,CSNK1G1.53944,cg01226963,cg09968723,AZIN1.51582,OR10J1.26476,cg16796151,cg26107890,RASL12.51285,cg10076031,CYP2A13.1553,SP140L.93349,SH2D7.646892,PFDN1.5201,cg07921384,TLN2.83660,cg07682041,cg13248778,SUB1.10923,cg22078710,MAPK8.5599,MAP3K15.389840,DMPK.1760,WDFY4.57705,ANXA2P3.305,OR4D9.390199,FAM167B.84734,hsa.mir.1976,ARHGEF17.9828,FHL1.2273,ERAP2.64167,MRPS33.51650,MPEG1.219972,TRIM39.56658,CELF1.10658,SLC9A10.285335,CNO.55330,ALG11.440138,TAF3.83860,SCARNA9L.100158262,cg18769353,SCYL2.55681,SLC2A9.56606,cg27317439,cg10178228,PSMC3.5702,cg06167664,RSAD2.91543,PARP14.54625,cg14167596,NCRNA00052.145978,PARD3B.117583,cg06911744,hsa.mir.365.2,AQP12A.375318,APC.324,BMPR2.659,JOSD1.9929,cg02779037,MCTS1.28985,LBXCOR1.390598,HDAC6.10013,HFM1.164045,IFNGR2.3460,cg02817030,DCAF12.25853,SPATA2.9825,cg14556787,hsa.mir.365.1,cg12036817,Death
41,-1.2470544178377947,-1.3260375765787002,-0.2117487104585203,-1.124441737193049,-0.8473335552509732,-0.5373325466872664,-1.2710073942106226,-1.4365818303776092,-0.8805106273752821,-1.1118182699989556,1.2871022191044608,0.9072692181853196,0.3704537724572026,-1.2591754368159815,-0.8959764579916073,-1.1359211337217747,-0.8537590897235472,1.630997737106066,-1.1786918371219226,-1.0729473045023266,-0.9938269254423822,-1.3945565382560512,-0.7412835917151462,1.7687663600236796,-1.1216819050327778,1.2167212423999445,-0.8828897670192496,-1.041725640303211,-1.16154675979436,-1.064727217366542,-0.5089589353166084,-0.4493736430537242,-1.4629360762786936,-1.6246964588276287,1.969602048571288,-0.8702624755957872,-0.928180326021333,-1.0175013483192688,-0.8321628917543188,-1.1891138709651583,-1.0656623995746728,-1.0928329363285072,-0.9816570235583316,-0.7607899543397242,0.9859907262855654,-0.7976304573981472,-0.8390823812067939,-0.8901923366193272,-1.3343523939564692,-1.6757159094111218,-1.4834323413112174,-1.601735106362564,-0.9925951713679262,1.5416941890365454,0.9673940061850742,-1.3792423656469228,-0.9113888713268208,-1.3296315311814355,1.2555709606783667,-1.1997486055304043,-1.3352605710130911,-0.9365117163989466,-0.8046489468924963,1.6687493782476628,-0.953052248121271,-0.997928508442327,-1.7174632907987046,-0.965703886419873,-1.5739059981528687,-0.8228552998646113,-0.970588568429428,-1.0126551028076882,-1.347191973268871,-1.230103913517484,-1.096072501512337,-0.6987641611473213,-1.8991267776218843,-0.7941715926316263,-1.3683683874495394,0.011138090251446,-1.5098958188933782,-0.991905535998692,-1.1945167395806384,-1.0752470560353464,-1.2371178129953555,-1.2078029457421258,-1.130654924733094,-1.8754367562886471,-1.0633607350223218,-0.9600736270091312,-0.8592403349257902,-1.143125072526724,-0.9459375155354608,-1.0166388237257515,-1.1873106410254763,-1.373862353648323,-1.165086836126482,-1.147678677572132,-1.2129482329863464,-1.236969273154492,-1.2555024085002342,-0.9160157981160572,-1.010630676915929,-1.4481326022455945,-0.7373434495180903,-1.4702683509945464,-0.8076000724593752,-0.828868320080796,-0.9772650670809798,-1.144150674441099,-0.8840361800760455,-1.3478568656518235,-0.6797338690468354,0.0
422,-1.0828577533579944,-1.4171988854783792,0.2107767369260427,-0.8175128739491474,-0.7043508846925937,-0.5686081049743648,-1.0416635873372933,-1.2871119169458902,-0.9964129615963582,-0.9817307559000886,1.2481410793881975,0.973006978081858,0.2872663143042738,-0.9798617511995272,-0.9420349184018072,-1.067048436410211,-1.11747840088051,1.63036562803277,-1.1123172544614852,-1.118342237687766,-0.8272497953981293,-1.0463830591277203,-0.6883907187714167,1.8140311517396728,-1.1376248179678488,1.2530953485127507,-0.9731108857884092,-1.0367057651897462,-0.940999571184886,-1.2167774433205287,-0.2371735726442803,-0.7925106221113503,-1.4143718694745369,-1.4240695308767402,2.038014471140124,-0.9523745369764328,-0.4492879810212262,-0.9478837588156748,-0.7593817099209662,-0.9526054370544184,-0.258521458302283,-0.9721117435585755,-0.4203860183559521,-0.7320744585348752,0.9701851802124276,-0.8297692383230427,-0.8164724143755459,-0.5816807589496533,-1.3646405775814083,-1.7491351490633504,-1.3262485186311477,-1.3020960512497148,-1.3134320986057473,1.5551564367696336,1.016150054860363,-1.3698015315791756,-0.9021448454648776,-1.3147336339925868,1.281020270179529,-1.0706090947685083,-1.2354270859655716,-0.8902720055898137,-0.9375325300739,1.6165651023137368,-1.0080835725768658,-1.104506079085399,-1.6459466890569396,-0.9667778551069114,-1.5142339606691926,-0.9467548100881772,-0.5444772726040261,-0.9416898177751608,-1.448837736293836,-1.0271217131887664,-1.0995199002915272,-0.6614128554610799,-1.8360663850566747,-0.8679694902921851,-1.296371848505343,1.2779421849615615,-1.5781711854040572,-0.9513965504510148,-1.1951094912252551,-0.8479995897070044,-1.1341521870362972,-1.132799791952043,-1.1984731452684272,-1.795681605104815,-0.8568310915808425,-0.8412078316107795,-0.9491848822588648,-1.0979558486483634,-0.8982272832775237,-1.0473909553544654,-1.1943645439631267,-1.3957619143618245,-1.031817152435355,-1.024800840476843,-1.21624150730151,-1.1826180247092055,-1.2200262212762998,-0.966736339975843,-0.9038720934961796,-1.4180319056192374,-0.7593756043687933,-1.492273966907483,-0.9642511546077708,-0.3727370525128949,-0.9741065085096924,-0.139583587560739,-0.8122647938462605,-1.1083452531323874,-0.5194156877125212,0.0
420,-1.2494772449018878,-1.4223034301265731,-0.008753804515824,-1.104176231332634,-1.0470817443801843,-0.4392496923675691,-1.0752462757642267,-1.4251326689904673,-0.9764827767012334,-0.8750416125668581,1.4957346947335284,0.9513788037850254,0.2593024244346747,-1.0818410133824146,-0.9293071225014304,-1.1282142392411585,-1.100530239997069,1.5681598169160398,-0.8640632881629489,-1.2452312000362151,-1.0160914185612977,-1.3782720737036038,-0.5460780343154482,1.7968452386960707,-1.133735231344231,1.2569003222829531,-0.9024758437939072,-1.0280744868350606,-1.1068781284023137,-1.1989105420533,-0.4099167074509261,-0.7104671370492364,-1.3505613654509496,-1.5445153904845896,2.057080377174628,-0.9172314190180773,-0.730536821996049,-1.0021432511944517,-0.7986597479804558,-1.0148371747242797,-1.008636722012022,-0.9716009683230116,-0.8053685150786224,-0.7924099604069228,0.9643189980467328,-0.8315587541509342,-0.808741987771125,-0.990980704515207,-1.4220099897171303,-1.7438302051183252,-1.6022859886569276,-1.4855829792756832,-1.3041714530677349,1.5282787411803838,1.0143367098051916,-1.3572344534359455,-0.8870595538388272,-1.3848056043278565,1.2510202922675386,-0.1867260869934104,-1.2628912291920484,-0.7813362325167679,-0.8417439877100811,1.7693239379647414,-1.2283693420599335,-0.9917564165442808,-1.6859325708473811,-1.0036890592574117,-1.423815558659892,-1.140395034373244,-1.08872154636851,-1.0155066671499262,-1.1473071448979075,-1.138203742289473,-1.084691879681878,-0.6832926241229494,-1.8445332520571205,-0.8421298605737346,-1.335526214881941,0.318276204466488,-1.6228612067656556,-0.93526349076549,-1.1662688692022514,-0.8039905988566551,-1.2251366636231216,-1.089654443010122,-1.1590217391432145,-1.7512395799105411,-0.9206670387275112,-1.0958618727178495,-0.7490216460204305,-1.083892968288772,-0.9978084385895032,-1.14605120342254,-1.1786950530146536,-1.389840237138671,-1.0670073386366103,-1.1253735400566824,-0.9827816667731788,-0.9602753773165952,-1.2735330545902932,-0.9438902155202764,-0.9335298613407508,-1.368356273554448,-0.7459330058213139,-1.4730158857352895,-0.7840174604754575,-0.4206810632231367,-0.9789931351874628,-1.2370899569407492,-0.9379814605375408,-1.1465767618068767,-0.7404525584869357,0.0
69,-1.267936807821721,-1.1726619195385273,0.0281789294856444,-0.8898505873403496,-1.1868277769540638,-0.4920132191154205,-1.0124213084816571,-1.33315282261203,-0.7641169633796774,-0.9804661975827782,1.4200302726331744,0.8824943543373075,0.1567376226738569,-0.9857153828325648,-0.868403985115854,-1.1755537863340402,-1.080056200787067,1.617402859106879,-0.6961232020018712,-1.243950333005421,-1.0952822263762585,-0.942476887272692,-0.6614864142297725,1.808578282971804,-1.1295370932419178,1.220236702630116,-0.9698627651585546,-1.003331892293438,-1.0094299749728368,-0.9231266700305416,-0.2561229380230917,-0.7543556296386841,-1.4332518221157091,-1.3862012890181847,1.854911574314129,-0.9752992511965471,-0.2329429515761915,-1.0048475183168606,-0.8285750358557096,-0.8808161225292193,-0.7680520676777424,-1.3128905450190838,-0.7626290831584762,-0.7398569872821076,0.9541015323188058,-0.8532304687199433,-0.7386896187050919,-0.9005941962836806,-1.458608039111519,-1.7127600975881476,-1.396889884632753,-1.4794803399743577,-1.0251525011351632,1.530665763557945,1.0139459374329214,-1.3911038621556988,-0.8908265691802986,-1.4565317360731524,1.1583582901554794,-0.2208226174675955,-1.2514448426038398,-0.846906048070583,-0.9331434081369426,1.666659403747102,-1.0272788950017036,-1.104460745045731,-1.6367490263196165,-0.9039622075627204,-1.542026471100871,-0.7227348527901398,-1.0464308912480338,-0.9505133848788992,-1.3359575486696635,-0.8954889739209316,-1.0776049891945605,-0.6871222517256441,-1.8973963861184449,-0.8309301173503065,-1.429037192157545,0.8670822314786157,-1.6431185328233693,-0.9717591187534168,-1.1428350636738984,-0.6527081086425273,-1.233911373854424,-1.1765240594077768,-1.17780692566129,-1.7561355554288949,-0.7634808099679407,-0.9099502168174226,-1.142001421447025,-1.078408311633689,-0.8079748523329312,-1.1246632714412896,-1.1806640234261436,-1.410523101546845,-1.0009682495706045,-1.095094052190739,-1.0421696984942028,-1.1116627595295836,-1.2142571498353678,-0.9720209156089854,-0.8531971272915596,-1.4216237488776131,-0.7618984502222491,-1.3000264565857167,-0.0104586642339767,-0.5704895919884304,-0.8208144316751002,-1.049941686797944,-0.968438215884606,-1.3171030990850006,-0.4537239741364476,0.0
155,-1.201566980239864,-1.5561000584515765,0.0231447355152563,-1.023621600694539,-1.3093022947459751,-0.774675181144801,-1.474401837477118,-1.45039038263559,-0.9596936227044308,-1.197963594527803,1.1568663878999963,0.5298616225192292,-0.203274518840237,-1.331649671201655,-0.8993108252281364,-0.667953678150163,-1.0974537177123256,1.5719943412449535,-0.8687199799335177,-0.8059910061562353,-1.0424352932793066,-1.1258640216409217,-0.7335439806994505,1.7485361007946274,-1.129671035406914,1.0742011279581645,-0.9671484568421548,-1.0420006540182496,-1.101834542208281,-0.9617923299256508,-0.7463104504273133,-0.7971011050158299,-1.4831253509792723,-1.7414510138536812,1.977401330164349,-1.001371877170609,-0.8191643741048852,-0.9752383620405924,-0.7640996444009814,-1.1945233104909851,-0.4672672578403268,-1.4032234624011557,-1.0976982150656105,-0.8447175679072055,0.918651670382212,-0.8735665478540273,-0.8244230721618171,-1.17523453512122,-1.0176663049660997,-1.6682418205103773,-1.603844679871326,-1.0940240801673482,-1.340419782825618,1.5074030302359005,0.9908778990225622,-1.3832431765641395,-0.9304749579333716,-1.4215371986221972,1.1325351869895766,-1.2117238837170174,-1.28620768317183,-0.9747063013946444,-0.8943788336927294,1.5031727177956735,-1.1554507583245484,-1.130635864690279,-1.7048297520733862,-1.0453163370510663,-1.5419142503395586,-1.2786317016463886,-1.0598249705072986,-1.0911823157642304,-1.469308076181918,-1.3748207385909796,-1.1013945557235427,-0.6633283379909105,-1.897513645297044,-0.892971473946621,-1.6469130877510574,1.5838572428905302,-1.543678773184772,-1.0094760407774028,-0.9698120882630688,-1.0346818268066738,-1.2544799480789248,-1.1646830849967538,-1.1526319670076326,-2.161892191616816,-0.8562720537030475,-1.062401759038922,-1.0357573907408473,-1.3324954826402244,-1.010675510835644,-1.2047609373492056,-1.1474191656464143,-1.3977838922712336,-1.1864176202145391,-1.1134957898672957,-1.1903565949342083,-1.1843452921567763,-1.282386168563952,-0.9612286463300352,-1.0147635218614974,-1.416090056949087,-0.7433906126567724,-1.511567366934493,-1.0001881717270638,-0.8638746800326347,-0.9468824582558508,-1.363646713966406,-0.950866526497887,-0.8799651553561346,-0.8182560679064051,1.0
98,-1.246149656805818,-1.5308128592299006,0.4018159002006982,-0.5063758139496768,-1.0615285688053926,-0.4953630273614302,-0.6697000889138937,-1.110343966665463,-1.0304279528174085,-1.1305805261082515,1.1959616694954565,0.4134876073990373,0.1873136490586257,-1.3039023252480593,-0.6674543382842377,-1.0162466348453647,-1.094552886056029,1.5577595386614114,-0.5056370249210909,-1.2383661931453214,-0.8413767638441244,-0.8477041908285691,-0.7715526504751433,1.4247283155811274,-1.1123574708550945,1.2680575253737112,0.0078776067975829,-1.046091512661863,-0.8140157188910924,-0.9952297589587406,-0.4698444243259173,-0.7631774603132442,-1.3409384879977848,-1.4158378880582698,1.7057465301991386,-0.9960114392560928,-0.9513559051254712,-1.000237938005275,-0.7403570386630496,-1.2125651066028649,-1.1234326406411654,-1.4324863617043333,-1.114681250648679,-0.8485802926941638,0.911686750946558,-0.8698059528717197,-0.8005399125729395,-0.8263101936488596,-1.116931334405428,-1.5733650068083382,-1.5645049664408572,-0.9690559433414668,-1.0289001074789297,1.4674189284257284,1.0166088680335692,-1.2373570712126754,-0.9186794978793128,-1.2872113347131906,1.1886229373781363,-1.0581126501398477,-1.2060547117859182,-0.979111400704582,-0.8494988081875356,1.562320970914178,-1.2185845645505642,-0.8475286918529513,-1.6273672141957896,-1.0486939570985785,-1.2476444681074437,-0.7481627205237186,-1.1506041169567127,-0.3952848632299978,-1.300174266624727,-1.0043582921351386,-1.0456866923378256,-0.7085636207873097,-1.920965628860384,-0.883769448885672,-0.7686296797851916,1.5460604848861197,-1.4963890347642868,-0.9936822560575176,-1.189828033794203,-1.1390716523447812,-1.0932503270767078,-1.2287060382222823,-0.5903448662831011,-2.1015280053497567,-0.5227566261698481,-0.7030734010085529,-1.1400952087721905,-1.292802995623338,-0.9376094350819572,-1.328809274238146,-1.2016523333470417,-1.389453274259459,-1.1710776060425163,-1.151358961579136,-1.2647603406414405,-1.1655552905172435,-0.6643254595271735,-0.8466989988843983,-0.9845332898692168,-1.4506920011247504,-0.7664976268385272,-1.4931365417164466,-0.8958736308682715,-0.9486184353979498,-0.9767347099406696,-1.2252355244737243,-0.9253357526363992,-1.156595867659235,-0.7698492420775797,0.0
261,-0.7955049438470551,-1.164082917035818,0.1480431826669243,-1.1009033904674232,-0.5909958524437141,-0.6804046734651684,-1.4512127409630864,-1.402264643221094,-0.5248184834129894,-0.8268947853122679,1.0419033101146726,0.5864844390807038,0.1155318655087455,-1.0551011863932294,-0.9575525851243692,-0.7294317858512809,-1.108130189614401,1.6266916200133412,-0.5773595129571977,-0.89669171635653,-1.0799076471967446,-0.8256721491995668,-0.4552566946450301,1.6949726086583108,-1.123074139688097,0.8146200560482146,-0.7595244602225145,-1.0375073680430291,-1.099004282372414,-1.0298755059184506,-0.5603406142281165,-0.7755050370003598,-0.9669552279011472,-0.9243755215214968,2.0142792116717376,-0.9187816255560424,-0.8385919249016174,-0.9618865928559468,-0.830770562155886,-0.873816836747438,-0.7557958196359668,-1.2795486664172613,-0.556008837122234,-0.8162888876115217,0.8795495695596636,-0.8005217152856624,-0.7816242193047066,-1.2433299793613757,-0.5635237677895888,-1.4477663520752937,-1.4651434037801616,-0.8562695496662911,-1.3194172868608378,1.3781696727094492,1.0031899924701355,-1.3492035809228948,-0.882218340713858,-1.3706663031215032,1.1180669028697936,-0.7742385848642419,-1.237292344938835,-0.8387853473584622,-0.8793953418879109,1.4559960276037502,-0.936918692581662,-0.9701986706968142,-1.526320377788176,-0.5212017275883241,-1.4629331572010371,-1.2450483444077398,-0.913492483836702,-1.0947396716914577,-1.2368872059353366,-0.8123559158896207,-0.705258110575652,-0.6742167918678943,-1.5208197286303138,-0.8033626820170554,-1.302443330912023,1.552485025821781,-1.3629663722216,-0.5963128420174199,-0.7220864861575154,-0.825179181058769,-1.1649863255699278,-1.1386066760176152,-1.1452148773219673,-2.0103837978229326,-0.2622269699186716,-0.5534080683513275,-0.8774879574687499,-0.7427131174550115,-0.9544890992731212,-1.0883856614486478,-0.8208212873995102,-1.386508326234606,-1.174089755122263,-0.9684745651195426,-0.7715463058764482,-1.0449361028266753,-0.960808230917386,-0.9250127895754142,-0.962259247838218,-1.4273094569457223,-0.6732745469838309,-1.4816769953612972,-0.6894031084844996,-0.759160098117547,-0.8126924212518188,-1.0697269626472157,-0.939068757977648,-0.3290954780865542,-0.7429260644235332,0.0
395,-1.2082689290539836,-0.9021194573732956,-0.0221265269167126,-0.4398518030550075,-0.495417500922732,-0.808543398009764,-0.8275432764096329,-1.175267552528229,-1.0077609849587963,-1.2078947172264498,0.5810680311174609,0.981959009670378,-0.8062076470730948,-0.3676676094869521,-1.0820028438894274,-0.2405767764836349,-1.118922833719042,1.635470951270971,-0.7720078366212118,-1.1803380981219715,-1.236517598422265,-1.4492022748501672,-0.791123758094656,1.7727830574711736,-1.1337519936322564,1.2591418951084714,-0.916433552236233,-1.0298073726592285,-0.3911540770127646,-1.302723017429008,-0.7894327868308826,-0.7853457245899188,-1.4583593883319077,-1.4622931402539712,1.953960050354052,-1.0053039981448075,-0.7736935397676069,-1.0002454400883305,-0.7021158046150516,-0.4102972582874037,0.2125175787254863,-1.174269714798164,-0.9421396809815205,-0.841217287216106,0.137542499102135,-0.8530219379698982,-0.7902430666525889,-1.155207650784431,-1.4302868216169449,-1.7514242489626208,-1.366101086509161,-0.6335612589389199,-1.3734630692248355,1.419807420340102,0.9709044386853982,-1.4073756990884916,-0.91458844539554,-1.337605459276459,1.2576733662518842,-1.0916916214395944,-1.281854445426156,-0.9653857807227364,-0.9916662511095548,0.5985038834184235,-1.2817349755452885,-0.6098009245499127,-1.2961097254530023,-0.9725721649507236,-1.3276640850938128,-1.2931394663887503,-0.9318348629778676,-1.0754783274430697,-1.4018848329830351,-1.2656457648899568,-1.0235067544280267,-0.7104460142406321,-1.921321040710416,-0.9128441762863476,-1.3787276347598645,1.1277293126682173,-1.4677693532339535,-0.9900567187192048,-1.17232963715086,-0.9118664044670268,-1.2523219393242284,-1.1783652727810927,-1.213003600058762,-2.0550733517840074,-0.9623624684493288,-1.2406695544687756,-0.891786594270648,-0.8438085776424704,-0.1269041719977731,-0.9889280060269344,-1.1956771234094772,-1.4143188402076072,-1.1557717952435222,-1.1460785541047616,-0.394780274380797,-1.0958585991998764,-0.6351687239813796,-0.2127150594035359,-1.0460241370485228,-0.6129563541143778,-0.7592394249217821,-1.2210178928727984,-0.975726757056861,-1.3402171586224974,-0.5246561025406051,-1.1836951498127783,-0.9236405095137016,-0.7647311313497598,-0.2897969609504792,1.0
287,-1.2733346655767654,-1.5415033764549697,-0.706202909316647,-1.4632051781761055,-0.9478495358845138,-0.8370696639298039,-1.3827671216757704,-0.5126044717676969,-0.9931793971841252,-1.1845259536146855,-0.0040744785464159,1.010015269451622,-1.012151339560085,-1.3477853823180248,-0.0113701223422894,0.4862033335369323,-1.1119006863324332,1.221908868737504,0.5798509588254162,-1.1754166607709342,-1.1626263274241873,-1.4858388372437754,-0.7631486321086779,0.1968996462685149,-1.117756746678875,1.3029913872676673,-1.0790124555828304,-1.03353977979124,-0.789428617528094,-1.3437236208826842,-0.7483301407904602,-0.7895873307300995,0.0266923610994954,-0.8956088786919266,2.069693016912019,-0.9954273012352588,-0.8795738411504196,-0.9743569188063754,-0.8733763810179844,-1.3139010609449877,-1.0808894248568075,-1.3866933431945518,-1.1755442285346762,0.7108172584392951,-0.4056561147188246,-0.8954266409138476,-0.733588014873166,0.0177159980620073,-1.5669863715590613,-1.7400273113033216,-1.4223942829455336,-1.538285224628277,-1.2614643293371584,-0.1367766971594158,0.9207193480810258,-1.4103679452299325,-0.9209131413803932,-1.39762748554923,0.4970291379098195,-1.0913705940955252,-1.235425431418042,-0.8931101458250417,-0.965315304995734,-0.4113544617615761,-1.2757509434733263,-1.1021873108868,-1.7260257800560872,-0.932366283817506,-1.585507063712244,-1.2140489815606332,-1.1248134991185426,-1.1323503356763738,-1.6208301325571666,-1.5305258413614986,-1.067656053127764,-0.7281369159242709,-1.8020681748009288,-0.8586480617551651,-1.7644278928551058,1.6209117195860303,-1.937664704380344,-0.9395493730637158,-1.1594665162296862,-0.8955874760497543,-1.2499035575921045,-0.1535968336209877,-1.180354313854486,-2.1083087357224937,-0.7091785713603269,-1.2891926215527925,-1.0429643699530826,-0.9554214703119936,-1.0226025857987708,-1.3376557792032244,-1.1891102030125371,-1.3603416220695708,-1.1788182770552216,-1.0053594038453335,-1.219402195262392,-1.012965204317963,-1.3047988744521029,-0.9923924454344863,-0.6723013311552868,-1.3775321505861655,-0.7330055340903792,-0.2859400665122636,-1.2504241736782915,-0.6879935304925078,0.4640360691407904,-0.8121934364445496,-0.9655973779193044,-0.0697440107724421,-0.7318324439138727,0.0
197,-0.4518083285372249,-1.560946704013598,-0.4485598591695878,-1.103107108539863,-1.0177576146252596,-0.7597262892117015,-1.4746115415052397,-1.436692988525352,-1.0447195263158888,-1.183843849629442,0.2155619918370295,-0.5416111468054058,-0.4608970923086048,-1.2995669088432216,-1.0064010342913017,-0.758602964689163,-1.0761636175896496,0.4862234825927772,-0.3729685508224548,-0.6825664558522789,-1.151572096184962,-0.241064432775053,-0.7966311104811318,0.7242269838239924,-1.1281618448985875,0.3490901070601392,-1.0002399063169922,-1.0392371013886117,-0.91316104549554,-1.208514125859292,-0.7164141626081687,-0.7898062204534267,-0.6013857359710595,-1.558597646152987,0.3210673218173001,0.3647840008907916,-0.9069602142433568,-0.9482131403862912,-0.826900182408204,-1.0851900163741246,-0.7700065943932233,-1.4468082062715475,-0.952657091417626,-0.8170148103770802,0.4028317287751048,-0.8062164799384669,-0.8275558030080464,-1.150013466427193,-1.107185990087267,-1.7491697550535072,-0.8930447792651685,0.0836774230069753,-1.365387916277616,0.2475764342026354,0.533168444274461,-1.3433305514836131,-0.9113204936272448,-1.450951629755712,0.5372426486738799,-0.3285190973378962,-1.2981731782897543,-0.7118988330983421,-0.9784960012982614,-0.0165903423994542,-1.2892600196866035,-1.1840390100680314,-1.6631383414227536,-1.0416485727463236,-1.520414443603575,-1.2876623240409732,-1.0346308607669716,-1.1291412631922049,-1.0886970925670765,-0.9459889810793164,-1.0874142422323207,-0.7079619030109533,-1.7945313090175794,-0.8847766702189935,-1.5320314174573026,0.5522767860752613,-1.681891703582987,-0.9912296022399628,-0.1947422955256912,-0.4951901276170284,-1.251628349607229,-1.0921489011921224,-1.211595105251905,-1.7075612066781596,-0.6779617159490796,-1.2609432825450193,-1.1711510589289906,-1.1804537449536294,-0.8474558166853394,-1.314673065624929,-1.1798684214722186,-1.394097974488821,-1.1178445543495976,-1.0753180942013665,-1.1869364658770822,-1.223849634398987,-1.1588014233926829,-1.104403698948095,-1.0393350010890212,-1.4600675582738318,-0.7438619512341246,-1.4703949188910748,-1.0066832723091357,-0.4228247886773885,-0.9608155007243918,-0.8237295312515451,-0.97102628868305,-0.1604225651063084,-0.7860095408257496,0.0
